"OBWOD","REJ","POP_REJ","N_ADRESY_R","CLC_area_R","UA_area_R","BDOT_area_R"
"6704203","670420",1022,37,48453.5571876654,40028.2026203695,34838.8888196476
"6704201","670420",1022,37,48453.5571876654,40028.2026203695,34838.8888196476
"6704204","670420",1022,37,48453.5571876654,40028.2026203695,34838.8888196476
"6704206","670420",1022,37,48453.5571876654,40028.2026203695,34838.8888196476
"6704207","670420",1022,37,48453.5571876654,40028.2026203695,34838.8888196476
"6704304","670430",446,123,116105.87031245,100344.887270677,92946.0976404553
"6704303","670430",446,123,116105.87031245,100344.887270677,92946.0976404553
"6704302","670430",446,123,116105.87031245,100344.887270677,92946.0976404553
"6704301","670430",446,123,116105.87031245,100344.887270677,92946.0976404553
"6704401","670440",347,104,210385.726234146,151342.858141081,59717.9575398753
"6704402","670440",347,104,210385.726234146,151342.858141081,59717.9575398753
"6704403","670440",347,104,210385.726234146,151342.858141081,59717.9575398753
"6704404","670440",347,104,210385.726234146,151342.858141081,59717.9575398753
"6704503","670450",1232,141,178964.97831577,115662.073290778,103682.018266704
"6704501","670450",1232,141,178964.97831577,115662.073290778,103682.018266704
"6704505","670450",1232,141,178964.97831577,115662.073290778,103682.018266704
"6704502","670450",1232,141,178964.97831577,115662.073290778,103682.018266704
"6704504","670450",1232,141,178964.97831577,115662.073290778,103682.018266704
"6704603","670460",973,27,51856.7865625237,46530.664096181,35.7217588119674
"6704605","670460",973,27,51856.7865625237,46530.664096181,35.7217588119674
"6704607","670460",973,27,51856.7865625237,46530.664096181,35.7217588119674
"6704606","670460",973,27,51856.7865625237,46530.664096181,35.7217588119674
"6704601","670460",973,27,51856.7865625237,46530.664096181,35.7217588119674
"6704604","670460",973,27,51856.7865625237,46530.664096181,35.7217588119674
"6704602","670460",973,27,51856.7865625237,46530.664096181,35.7217588119674
"6704702","670470",507,139,123582.722489954,103283.553265799,106187.091907674
"6704701","670470",507,139,123582.722489954,103283.553265799,106187.091907674
"6704703","670470",507,139,123582.722489954,103283.553265799,106187.091907674
"6704802","670480",473,110,108052.918450355,93428.253214212,85038.917907542
"6704801","670480",473,110,108052.918450355,93428.253214212,85038.917907542
"6704803","670480",473,110,108052.918450355,93428.253214212,85038.917907542
"6705102","670510",515,65,166119.041777052,43030.4972089044,36066.6079599541
"6705101","670510",515,65,166119.041777052,43030.4972089044,36066.6079599541
"6705103","670510",515,65,166119.041777052,43030.4972089044,36066.6079599541
"6705204","670520",836,185,154869.85000009,126780.138878011,118650.594855715
"6705205","670520",836,185,154869.85000009,126780.138878011,118650.594855715
"6705201","670520",836,185,154869.85000009,126780.138878011,118650.594855715
"6705202","670520",836,185,154869.85000009,126780.138878011,118650.594855715
"6705203","670520",836,185,154869.85000009,126780.138878011,118650.594855715
"6705301","670530",1033,120,111722.659999895,83134.1343813129,76871.7522795035
"6705305","670530",1033,120,111722.659999895,83134.1343813129,76871.7522795035
"6705306","670530",1033,120,111722.659999895,83134.1343813129,76871.7522795035
"6705303","670530",1033,120,111722.659999895,83134.1343813129,76871.7522795035
"6705307","670530",1033,120,111722.659999895,83134.1343813129,76871.7522795035
"6705304","670530",1033,120,111722.659999895,83134.1343813129,76871.7522795035
"6705302","670530",1033,120,111722.659999895,83134.1343813129,76871.7522795035
"6705404","670540",558,82,230535.451250079,75959.4558860142,94818.158855413
"6705402","670540",558,82,230535.451250079,75959.4558860142,94818.158855413
"6705403","670540",558,82,230535.451250079,75959.4558860142,94818.158855413
"6705401","670540",558,82,230535.451250079,75959.4558860142,94818.158855413
"6705504","670550",565,120,126405.426562283,90710.3638395422,80155.3976537541
"6705502","670550",565,120,126405.426562283,90710.3638395422,80155.3976537541
"6705505","670550",565,120,126405.426562283,90710.3638395422,80155.3976537541
"6705503","670550",565,120,126405.426562283,90710.3638395422,80155.3976537541
"6705501","670550",565,120,126405.426562283,90710.3638395422,80155.3976537541
"6705603","670560",542,65,58562.6215624781,51714.7809563407,45160.6705315133
"6705601","670560",542,65,58562.6215624781,51714.7809563407,45160.6705315133
"6705605","670560",542,65,58562.6215624781,51714.7809563407,45160.6705315133
"6705604","670560",542,65,58562.6215624781,51714.7809563407,45160.6705315133
"6705602","670560",542,65,58562.6215624781,51714.7809563407,45160.6705315133
"6705701","670570",82,46,158036.243783105,122989.791251659,15574.101464769
"6705803","670580",675,176,122600.731562691,110701.957472827,115644.091362508
"6705804","670580",675,176,122600.731562691,110701.957472827,115644.091362508
"6705801","670580",675,176,122600.731562691,110701.957472827,115644.091362508
"6705805","670580",675,176,122600.731562691,110701.957472827,115644.091362508
"6705802","670580",675,176,122600.731562691,110701.957472827,115644.091362508
"6705906","670590",1982,59,188406.299374892,21990.9153596369,67719.9075706091
"6705901","670590",1982,59,188406.299374892,21990.9153596369,67719.9075706091
"6705907","670590",1982,59,188406.299374892,21990.9153596369,67719.9075706091
"6705902","670590",1982,59,188406.299374892,21990.9153596369,67719.9075706091
"6705905","670590",1982,59,188406.299374892,21990.9153596369,67719.9075706091
"6705903","670590",1982,59,188406.299374892,21990.9153596369,67719.9075706091
"6705904","670590",1982,59,188406.299374892,21990.9153596369,67719.9075706091
"6706012","670601",1079,16,24802.8490624632,15776.5440319404,8325.06283654738
"6706011","670601",1079,16,24802.8490624632,15776.5440319404,8325.06283654738
"6706022","670602",1287,11,41975.1090624334,34208.3068539727,12864.0104863411
"6706023","670602",1287,11,41975.1090624334,34208.3068539727,12864.0104863411
"6706021","670602",1287,11,41975.1090624334,34208.3068539727,12864.0104863411
"6706024","670602",1287,11,41975.1090624334,34208.3068539727,12864.0104863411
"6706033","670603",1367,19,65273.6975000259,27694.7439558327,12660.3598306836
"6706032","670603",1367,19,65273.6975000259,27694.7439558327,12660.3598306836
"6706031","670603",1367,19,65273.6975000259,27694.7439558327,12660.3598306836
"6706101","670610",1039,108,119995.589374769,86433.6686998267,60910.4812592498
"6706102","670610",1039,108,119995.589374769,86433.6686998267,60910.4812592498
"6706104","670610",1039,108,119995.589374769,86433.6686998267,60910.4812592498
"6706103","670610",1039,108,119995.589374769,86433.6686998267,60910.4812592498
"6706105","670610",1039,108,119995.589374769,86433.6686998267,60910.4812592498
"6706207","670620",1277,198,171545.818125115,127371.327382396,123704.760671237
"6706202","670620",1277,198,171545.818125115,127371.327382396,123704.760671237
"6706203","670620",1277,198,171545.818125115,127371.327382396,123704.760671237
"6706204","670620",1277,198,171545.818125115,127371.327382396,123704.760671237
"6706206","670620",1277,198,171545.818125115,127371.327382396,123704.760671237
"6706205","670620",1277,198,171545.818125115,127371.327382396,123704.760671237
"6706201","670620",1277,198,171545.818125115,127371.327382396,123704.760671237
"6706306","670630",719,151,105101.461980687,221099.387311886,98248.7932320853
"6706305","670630",719,151,105101.461980687,221099.387311886,98248.7932320853
"6706302","670630",719,151,105101.461980687,221099.387311886,98248.7932320853
"6706301","670630",719,151,105101.461980687,221099.387311886,98248.7932320853
"6706304","670630",719,151,105101.461980687,221099.387311886,98248.7932320853
"6706303","670630",719,151,105101.461980687,221099.387311886,98248.7932320853
"6706404","670640",1285,21,66814.2150002225,24127.0476306491,13098.8742537739
"6706403","670640",1285,21,66814.2150002225,24127.0476306491,13098.8742537739
"6706401","670640",1285,21,66814.2150002225,24127.0476306491,13098.8742537739
"6706402","670640",1285,21,66814.2150002225,24127.0476306491,13098.8742537739
"6706502","670650",819,12,36187.7165624674,22241.7165749268,7517.0697729715
"6706503","670650",819,12,36187.7165624674,22241.7165749268,7517.0697729715
"6706501","670650",819,12,36187.7165624674,22241.7165749268,7517.0697729715
"6706612","670661",1101,16,103584.190767197,37567.3995081761,14161.0244943456
"6706614","670661",1101,16,103584.190767197,37567.3995081761,14161.0244943456
"6706613","670661",1101,16,103584.190767197,37567.3995081761,14161.0244943456
"6706611","670661",1101,16,103584.190767197,37567.3995081761,14161.0244943456
"6706622","670662",1489,24,62531.1318685231,24887.4705464004,21016.7623529956
"6706624","670662",1489,24,62531.1318685231,24887.4705464004,21016.7623529956
"6706621","670662",1489,24,62531.1318685231,24887.4705464004,21016.7623529956
"6706623","670662",1489,24,62531.1318685231,24887.4705464004,21016.7623529956
"6706704","670670",676,27,55511.6949473347,45932.3481124974,34746.0041502909
"6706705","670670",676,27,55511.6949473347,45932.3481124974,34746.0041502909
"6706703","670670",676,27,55511.6949473347,45932.3481124974,34746.0041502909
"6706706","670670",676,27,55511.6949473347,45932.3481124974,34746.0041502909
"6706701","670670",676,27,55511.6949473347,45932.3481124974,34746.0041502909
"6706702","670670",676,27,55511.6949473347,45932.3481124974,34746.0041502909
"6706801","670680",527,20,25126.2350000194,22700.1015543584,22147.9885849642
"6706804","670680",527,20,25126.2350000194,22700.1015543584,22147.9885849642
"6706802","670680",527,20,25126.2350000194,22700.1015543584,22147.9885849642
"6706803","670680",527,20,25126.2350000194,22700.1015543584,22147.9885849642
"6706902","670690",1299,58,51620.9105416238,101802.416237978,54069.2585000738
"6706904","670690",1299,58,51620.9105416238,101802.416237978,54069.2585000738
"6706903","670690",1299,58,51620.9105416238,101802.416237978,54069.2585000738
"6706901","670690",1299,58,51620.9105416238,101802.416237978,54069.2585000738
"6706908","670690",1299,58,51620.9105416238,101802.416237978,54069.2585000738
"6706907","670690",1299,58,51620.9105416238,101802.416237978,54069.2585000738
"6706905","670690",1299,58,51620.9105416238,101802.416237978,54069.2585000738
"6706906","670690",1299,58,51620.9105416238,101802.416237978,54069.2585000738
"6707004","670700",814,81,44148.4147359151,50072.9530897387,62401.2666527477
"6707006","670700",814,81,44148.4147359151,50072.9530897387,62401.2666527477
"6707007","670700",814,81,44148.4147359151,50072.9530897387,62401.2666527477
"6707005","670700",814,81,44148.4147359151,50072.9530897387,62401.2666527477
"6707002","670700",814,81,44148.4147359151,50072.9530897387,62401.2666527477
"6707001","670700",814,81,44148.4147359151,50072.9530897387,62401.2666527477
"6707003","670700",814,81,44148.4147359151,50072.9530897387,62401.2666527477
"6707104","670710",717,247,26991.4771251546,108761.191936835,120193.134039308
"6707103","670710",717,247,26991.4771251546,108761.191936835,120193.134039308
"6707102","670710",717,247,26991.4771251546,108761.191936835,120193.134039308
"6707101","670710",717,247,26991.4771251546,108761.191936835,120193.134039308
"6707202","670720",532,50,278248.972187457,109808.258550833,18613.1342999988
"6707205","670720",532,50,278248.972187457,109808.258550833,18613.1342999988
"6707204","670720",532,50,278248.972187457,109808.258550833,18613.1342999988
"6707203","670720",532,50,278248.972187457,109808.258550833,18613.1342999988
"6707201","670720",532,50,278248.972187457,109808.258550833,18613.1342999988
"6707305","670730",1032,77,498232.433346321,166949.039550015,81322.6703283494
"6707301","670730",1032,77,498232.433346321,166949.039550015,81322.6703283494
"6707306","670730",1032,77,498232.433346321,166949.039550015,81322.6703283494
"6707304","670730",1032,77,498232.433346321,166949.039550015,81322.6703283494
"6707302","670730",1032,77,498232.433346321,166949.039550015,81322.6703283494
"6707303","670730",1032,77,498232.433346321,166949.039550015,81322.6703283494
"6707502","670750",1362,64,86359.4481249193,69582.4524728635,43849.4696327839
"6707503","670750",1362,64,86359.4481249193,69582.4524728635,43849.4696327839
"6707506","670750",1362,64,86359.4481249193,69582.4524728635,43849.4696327839
"6707505","670750",1362,64,86359.4481249193,69582.4524728635,43849.4696327839
"6707501","670750",1362,64,86359.4481249193,69582.4524728635,43849.4696327839
"6707504","670750",1362,64,86359.4481249193,69582.4524728635,43849.4696327839
"6707603","670760",776,35,59518.480312502,49419.7675712725,30308.6159817952
"6707604","670760",776,35,59518.480312502,49419.7675712725,30308.6159817952
"6707602","670760",776,35,59518.480312502,49419.7675712725,30308.6159817952
"6707605","670760",776,35,59518.480312502,49419.7675712725,30308.6159817952
"6707601","670760",776,35,59518.480312502,49419.7675712725,30308.6159817952
"6707702","670770",990,71,123803.103124964,99479.9797535221,66232.4108221454
"6707706","670770",990,71,123803.103124964,99479.9797535221,66232.4108221454
"6707703","670770",990,71,123803.103124964,99479.9797535221,66232.4108221454
"6707704","670770",990,71,123803.103124964,99479.9797535221,66232.4108221454
"6707705","670770",990,71,123803.103124964,99479.9797535221,66232.4108221454
"6707701","670770",990,71,123803.103124964,99479.9797535221,66232.4108221454
"6707908","670790",1232,74,177958.803674881,172517.481124934,104389.570771968
"6707904","670790",1232,74,177958.803674881,172517.481124934,104389.570771968
"6707907","670790",1232,74,177958.803674881,172517.481124934,104389.570771968
"6707906","670790",1232,74,177958.803674881,172517.481124934,104389.570771968
"6707901","670790",1232,74,177958.803674881,172517.481124934,104389.570771968
"6707905","670790",1232,74,177958.803674881,172517.481124934,104389.570771968
"6707903","670790",1232,74,177958.803674881,172517.481124934,104389.570771968
"6707902","670790",1232,74,177958.803674881,172517.481124934,104389.570771968
"6708101","670810",707,28,95930.8649999816,26152.4852504016,24113.0132110158
"6708102","670810",707,28,95930.8649999816,26152.4852504016,24113.0132110158
"6708103","670810",707,28,95930.8649999816,26152.4852504016,24113.0132110158
"6708205","670820",1501,45,46692.2684373991,41948.8911744361,46681.7059121461
"6708207","670820",1501,45,46692.2684373991,41948.8911744361,46681.7059121461
"6708203","670820",1501,45,46692.2684373991,41948.8911744361,46681.7059121461
"6708201","670820",1501,45,46692.2684373991,41948.8911744361,46681.7059121461
"6708204","670820",1501,45,46692.2684373991,41948.8911744361,46681.7059121461
"6708202","670820",1501,45,46692.2684373991,41948.8911744361,46681.7059121461
"6708206","670820",1501,45,46692.2684373991,41948.8911744361,46681.7059121461
"6708208","670820",1501,45,46692.2684373991,41948.8911744361,46681.7059121461
"6708302","670830",1348,44,45949.6674999935,41475.6755917827,43770.0410311949
"6708305","670830",1348,44,45949.6674999935,41475.6755917827,43770.0410311949
"6708301","670830",1348,44,45949.6674999935,41475.6755917827,43770.0410311949
"6708304","670830",1348,44,45949.6674999935,41475.6755917827,43770.0410311949
"6708306","670830",1348,44,45949.6674999935,41475.6755917827,43770.0410311949
"6708307","670830",1348,44,45949.6674999935,41475.6755917827,43770.0410311949
"6708303","670830",1348,44,45949.6674999935,41475.6755917827,43770.0410311949
"6708502","670850",903,36,95334.3450232833,8924.45577276836,38023.2648826341
"6708503","670850",903,36,95334.3450232833,8924.45577276836,38023.2648826341
"6708506","670850",903,36,95334.3450232833,8924.45577276836,38023.2648826341
"6708505","670850",903,36,95334.3450232833,8924.45577276836,38023.2648826341
"6708504","670850",903,36,95334.3450232833,8924.45577276836,38023.2648826341
"6708501","670850",903,36,95334.3450232833,8924.45577276836,38023.2648826341
"6708602","670860",1049,32,38597.5284374435,23443.1539864708,34182.3654045098
