"OBWOD","REJ","N_ADRESY","CLC_area","UA_area","BDOT_area","TOTAL_POP","N_ADRESY_R","CLC_area_R","UA_area_R","BDOT_area_R","POP_REJ"
"6704103","670410",2,6301.81562497001,5997.3453969775,4458.43648250942,110,35,62503.3699999747,55556.6217144447,25174.6735911887,686
"6704104","670410",5,3568.57687503844,3568.57687503844,3491.96532483306,133,35,62503.3699999747,55556.6217144447,25174.6735911887,686
"6704105","670410",24,39271.4884374589,36528.8851317114,10493.4246777693,201,35,62503.3699999747,55556.6217144447,25174.6735911887,686
"6704201","670420",5,5132.40093744127,4652.13872984427,3817.15461146677,158,37,48453.5571876654,40028.2026203411,34838.8888196476,1022
"6704202","670420",5,3780.81375001749,2987.96764840814,3361.21289831941,140,37,48453.5571876654,40028.2026203411,34838.8888196476,1022
"6704203","670420",5,7464.91937500238,6860.69450318674,6631.4086223875,158,37,48453.5571876654,40028.2026203411,34838.8888196476,1022
"6704204","670420",6,7641.50781257823,6960.88269043714,4386.39228640217,146,37,48453.5571876654,40028.2026203411,34838.8888196476,1022
"6704205","670420",7,7923.4859375899,6916.19546213135,5272.88323030691,127,37,48453.5571876654,40028.2026203411,34838.8888196476,1022
"6704206","670420",5,7583.44687505485,6171.111811572,5644.2692592098,167,37,48453.5571876654,40028.2026203411,34838.8888196476,1022
"6704207","670420",4,8926.9824999813,5479.21177476145,5725.56791155499,126,37,48453.5571876654,40028.2026203411,34838.8888196476,1022
"6704301","670430",53,43437.6318750735,36420.0882635657,37610.9697530721,150,123,116105.87031245,100344.887270985,92946.0976404553,446
"6704302","670430",21,23296.1012499006,20356.2841503697,19993.8776036179,71,123,116105.87031245,100344.887270985,92946.0976404553,446
"6704303","670430",22,17521.9284375411,16037.5350608548,12074.5582061444,72,123,116105.87031245,100344.887270985,92946.0976404553,446
"6704304","670430",27,31850.208749935,27530.9797961945,23266.6920776208,153,123,116105.87031245,100344.887270985,92946.0976404553,446
"6704401","670440",29,26674.5131249487,24218.7172613849,21254.7947075979,133,104,210385.726234146,151342.858141155,59717.9575398753,347
"6704402","670440",33,33134.7893749401,30886.0556038904,26282.7226794695,125,104,210385.726234146,151342.858141155,59717.9575398753,347
"6704403","670440",40,89888.6956248786,87640.368072666,12180.4401528079,89,104,210385.726234146,151342.858141155,59717.9575398753,347
"6704404","670440",2,60687.7281093784,8597.7172032135,0,0,104,210385.726234146,151342.858141155,59717.9575398753,347
"6704501","670450",10,53463.1578124948,16278.3496951874,16428.5805893197,241,141,178964.97831577,115662.073290769,103682.018266704,1232
"6704502","670450",7,21572.0993749294,9157.89532839239,4350.11880619801,203,141,178964.97831577,115662.073290769,103682.018266704,1232
"6704503","670450",4,4165.63781249058,3769.77116351039,2765.51243393216,141,141,178964.97831577,115662.073290769,103682.018266704,1232
